host	logname	time	method	url	response	bytes	referer	useragent
piweba4y.prodigy.com	-	807249998	GET	/history/apollo/images/footprint-logo.gif	200	4209		
133.43.96.45	-	807249998	GET	/images/kscmap-tiny.gif	200	2537		
js002.cc.utsunomiya-u.ac.jp	-	807249999	GET	/shuttle/resources/orbiters/orbiters-logo.gif	200	1932		
piweba1y.prodigy.com	-	807249999	GET	/history/apollo/apollo.html	200	3260		
ix-dfw12-08.ix.netcom.com	-	807249999	GET	/images/USA-logosmall.gif	200	234		
van15422.direct.ca	-	807250000	GET	/software/winvn/winvn.gif	200	25218		
ix-dfw12-08.ix.netcom.com	-	807250001	GET	/images/WORLD-logosmall.gif	200	669		
pm9.j51.com	-	807250007	GET	/images/dual-pad.gif	200	141308		
ad11-061.compuserve.com	-	807250010	GET	/	200	7280		
piweba1y.prodigy.com	-	807250011	GET	/history/apollo/images/footprint-small.gif	200	18149		
ad11-061.compuserve.com	-	807250012	GET	/images/ksclogo-medium.gif	200	5866		
